1	Q0	12398	0	14.030981	LMD[d]
1	Q0	12509	1	14.030981	LMD[d]
1	Q0	10073	2	12.617445	LMD[d]
1	Q0	12208	3	12.154154	LMD[d]
1	Q0	34521	4	11.676362	LMD[d]
1	Q0	14196	5	11.399094	LMD[d]
1	Q0	14252	6	11.234601	LMD[d]
1	Q0	13378	7	11.234601	LMD[d]
1	Q0	44788	8	11.082621	LMD[d]
1	Q0	14417	9	10.741568	LMD[d]
2	Q0	12513	0	11.279135	LMD[d]
2	Q0	4594	1	10.957001	LMD[d]
2	Q0	50759	2	5.749801	LMD[d]
2	Q0	50714	3	5.746343	LMD[d]
2	Q0	50752	4	5.744372	LMD[d]
2	Q0	50765	5	5.744372	LMD[d]
2	Q0	50707	6	5.743389	LMD[d]
2	Q0	50757	7	5.742897	LMD[d]
2	Q0	50709	8	5.740443	LMD[d]
2	Q0	50715	9	5.739463	LMD[d]
3	Q0	55432	0	11.200713	LMD[d]
3	Q0	8872	1	11.200713	LMD[d]
3	Q0	11484	2	9.810803	LMD[d]
3	Q0	74417	3	9.808695	LMD[d]
3	Q0	1652	4	9.747724	LMD[d]
3	Q0	89044	5	9.519047	LMD[d]
3	Q0	30782	6	9.519047	LMD[d]
3	Q0	68590	7	9.519047	LMD[d]
3	Q0	71338	8	9.346266	LMD[d]
3	Q0	74539	9	9.273426	LMD[d]
4	Q0	14049	0	24.755005	LMD[d]
4	Q0	14530	1	21.814056	LMD[d]
4	Q0	12513	2	21.477074	LMD[d]
4	Q0	4594	3	20.477400	LMD[d]
4	Q0	14084	4	20.154882	LMD[d]
4	Q0	15641	5	18.084202	LMD[d]
4	Q0	14336	6	17.448013	LMD[d]
4	Q0	13369	7	17.448013	LMD[d]
4	Q0	13388	8	17.211138	LMD[d]
4	Q0	15414	9	17.211138	LMD[d]
5	Q0	12513	0	22.299473	LMD[d]
5	Q0	14196	1	13.298069	LMD[d]
5	Q0	12518	2	12.556576	LMD[d]
5	Q0	3647	3	12.142044	LMD[d]
5	Q0	3914	4	12.001873	LMD[d]
5	Q0	14979	5	11.739769	LMD[d]
5	Q0	63952	6	11.739769	LMD[d]
5	Q0	9547	7	11.498736	LMD[d]
5	Q0	10807	8	11.275637	LMD[d]
5	Q0	55773	9	10.873783	LMD[d]
6	Q0	15381	0	20.616266	LMD[d]
6	Q0	13356	1	20.616266	LMD[d]
6	Q0	4594	2	18.939226	LMD[d]
6	Q0	12513	3	12.884308	LMD[d]
6	Q0	15144	4	10.681689	LMD[d]
6	Q0	10280	5	9.342646	LMD[d]
6	Q0	2976	6	9.219357	LMD[d]
6	Q0	8555	7	9.219357	LMD[d]
6	Q0	74750	8	9.219357	LMD[d]
6	Q0	43391	9	9.219357	LMD[d]
7	Q0	9101	0	10.828287	LMD[d]
7	Q0	9177	1	10.820824	LMD[d]
7	Q0	6748	2	10.300672	LMD[d]
7	Q0	75764	3	10.300672	LMD[d]
7	Q0	3731	4	9.925681	LMD[d]
7	Q0	11846	5	9.856239	LMD[d]
7	Q0	11855	6	9.856239	LMD[d]
7	Q0	14924	7	9.636032	LMD[d]
7	Q0	13579	8	9.636032	LMD[d]
7	Q0	77581	9	9.383221	LMD[d]
8	Q0	14417	0	17.850370	LMD[d]
8	Q0	13284	1	17.850370	LMD[d]
8	Q0	15381	2	16.419933	LMD[d]
8	Q0	13356	3	16.419933	LMD[d]
8	Q0	12513	4	15.387160	LMD[d]
